,snowpit,longitude,latitude,total_depth (cm),ratio_SS,ratio_WS,ratio_DH,,SS,WS,DH,NDVI_mean,TPI_mean,Sx_270_mean
0,RP_01,-133.47498,68.74793,42,0.023809523809524,0.333333333333333,0.642857142857143,ok,0.023809523809524,0.333333333333333,0.642857142857143,0.421899312099206,-0.040742656706195,-0.034744767369917
1,RP_02,-133.52533,68.72096,41,0.024390243902439,0.219512195121951,0.75609756097561,2 layer mix ??,0,0.41,0.58,0.484314722140176,0.090793388846674,-0.00839574399057
2,RP_03,-133.52278,68.7261,29,0,0,0.689655172413793,1 layer mix,0,0.69,0.31,0.551668400918102,0.820433942895187,-0.041190624536015
3,RP_04,-133.46901,68.73019,39,0,0.205128205128205,0.794871794871795,1 layer mix,0,0.41,0.58,0.564580185880017,0.311367290584665,0.036636733598932
4,RP_05,-133.46558,68.73545,35,0,0.4,0.6,ok,0,0.4,0.6,0.454494499449046,-0.706168856885698,0.037620180916709
5,RP_06,-133.47989,68.73135,31,0,0.193548387096774,0.806451612903226,1 layer mix,0,0.25,0.74,0.558344417637561,0.053784238831962,0.00615526574242
6,RP_07,-133.4622,68.74153,33,0,0.181818181818182,0.818181818181818,Ok ?,0,0.181818181818182,0.818181818181818,0.478193031511746,0.236802743453729,-0.013934704868719
7,RP_08,-133.47023,68.73948,19,0.052631578947369,0.105263157894737,0.842105263157895,1 layer mix,0,0.21,0.78,0.52868794897041,0.031666248752218,-0.031915017406592
8,RP_09,-133.49118,68.75092,45,0,0.555555555555556,0.444444444444444,ok,0,0.555555555555556,0.444444444444444,0.541497653175309,1.31187432063253,-0.030010323951426
9,RP_10,-133.49895,68.75295,42,0,0.357142857142857,0.642857142857143,1 layer mix,0,0.5,0.5,0.540139901292493,0.110018591603471,-0.105677852642259
10,RP_11,-133.51149,68.75054,52,0,0.423076923076923,0.576923076923077,1 layer mix,0,0.46,0.54,0.43734078560768,-0.251658805891087,-0.015219771106263
11,RP_12,-133.48651,68.74229,41,0,0.463414634146341,0.536585365853659,ok,0,0.463414634146341,0.536585365853659,0.542281482623461,-0.019516356638633,-0.036056366652869
12,RP_13,-133.50952,68.72323,65,0,0.476923076923077,0.523076923076923,2 layer mix ??,0,0.63,0.37,0.519231311891514,0.131206881410132,0.035783726549683
13,RP_14,-133.49895,68.72772,34,0,0.088235294117647,0.911764705882353,1 layer mix,0,0.26,0.73,0.47163512583833,0.403359279036522,-0.02506371914235
14,RP_15,-133.48653,68.73054,44,0,0.477272727272727,0.522727272727273,1 layer mix,0,0.55,0.45,0.444076817917598,-0.279948967695236,0.004396181337638
15,RP_16,-133.47108,68.73315,20,0,0.15,0.85,ok,0,0.15,0.85,0.520679162199594,-0.041688558128145,0.011185062429246
16,RP_17,-133.51801,68.73156,35,0,0.285714285714286,0.714285714285714,1 layer mix,0,0.42,0.57,0.495140148889782,0.459084608488613,-0.092858093263038
17,RP_18,-133.50394,68.72717,32,0,0.25,0.75,1 layer mix,0,0.47,0.53,0.445896239972327,0.164058526649195,-0.005380673937871
18,RP_19,-133.46452,68.72823,54,0.037037037037037,0.351851851851852,0.611111111111111,1 layer mix,0.037,0.5,0.46,0.487006192404375,-0.134238823420472,-0.009477880472504
19,RP_20,-133.46297,68.7355,26,0,0,1,1 layer mix,0,0.35,0.65,0.52149820492136,0.15596709650402,-0.031019391866557
20,RP_21,-133.49081,68.74644,32,0,0.125,0.875,1 layer mix,0,0.25,0.75,0.534401826105044,0.063412865093495,-0.060152349330424
21,RP_22,-133.49715,68.75134,40,0,0.35,0.65,1 layer mix,0,0.58,0.43,0.576513609645534,-0.144274463190844,0.032273005865103
22,RP_23,-133.51569,68.74709,51,0,0.372549019607843,0.627450980392157,1 layer mix,0,0.67,0.33,0.447396103842041,0.448497292242552,0.000589392553216
23,RP_24,-133.51541,68.7416,59,0,0.372881355932203,0.627118644067797,ok,0,0.372881355932203,0.627118644067797,0.431702327443754,-0.913389215343877,0.065681086339727
24,RP_25,-133.49863,68.72369,73,0,0.342465753424657,0.657534246575342,1 layer mix,0,0.7,0.3,0.506975110419284,0.069284722797181,0.028256473059263
25,SC_03,-133.49197,68.73971,20,0,0.1,0.9,ok,0,0.1,0.9,0.589881642905925,1.30726351340612,-0.036164861114692
26,SD_03,-133.48802,68.73755,38,0,0.31578947368421,1,1 layer mix,0,0.52,0.48,0.575454271137516,1.1693201880706,0.15698811052385
27,SM_03,-133.50117,68.74694,39,0,0.307692307692308,0.692307692307692,1 layer mix,0,0.38,0.62,0.439740365727395,-0.122100756814082,0.029432827005497
28,SO_03,-133.50983,68.73077,25,0,0.24,0.76,1 layer mix,0,0.68,0.32,0.483916813247396,0.415303180615107,0.00571913658131
29,SR_03,-133.49731,68.74239,49,0.020408163265306,0.326530612244898,0.653061224489796,1 layer mix,0,0.49,0.51,0.448531003831373,0.427789968879599,-0.026421165781522
30,ST_03,-133.50728,68.72626,30,0,0.7,0.3,ok,0,0.7,0.3,0.484926296370978,0.22590618933502,0.023332333346542
31,SV_03,-133.50829,68.73743,18,0,0.166666666666667,0.833333333333333,1 layer mix,0,0.61,0.38,0.499059268506207,-0.154080679019292,-0.012508562555193
